Name,Formula,RT,MainPositiveAdduct,MainNegativeAdduct,InChI,KEGG,CAS,PubChem,ChemSpider,UserId,BioCyc,HMDB,Metlin,LipidMaps,
"6-Carboxy-5,6,7,8-tetrahydropterin","C7H9N5O3",0.00000,"[M+H]+","[M-H]-","InChI=1S/C7H9N5O3/c8-7-11-4-3(5(13)12-7)10-2(1-9-4)6(14)15/h2,10H,1H2,(H,14,15)(H4,8,9,11,12,13)",,,,,,,,,,
"6-Hydroxymethyl dihydropterin","C7H9N5O2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C7H9N5O2/c8-7-11-5-4(6(14)12-7)10-3(2-13)1-9-5/h13H,1-2H2,(H4,8,9,11,12,14)",,,,,,,,,,
"6-Hydroxymethyl-dihydropterin pyrophosphate","C7H8N5O8P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C7H11N5O8P2/c8-7-11-5-4(6(13)12-7)10-3(1-9-5)2-19-22(17,18)20-21(14,15)16/h1-2H2,(H,17,18)(H2,14,15,16)(H4,8,9,11,12,13)/p-3",,,,,,,,,,
"Ammonium","H4N",0.00000,"[M+H]+","[M-H]-","InChI=1S/H3N/h1H3/p+1",,,,,,,,,,
"D-Glycero-D-manno-heptose 1,7-bisphosphate","C7H16O13P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C7H16O13P2/c8-2(1-18-21(12,13)14)6-4(10)3(9)5(11)7(19-6)20-22(15,16)17/h2-11H,1H2,(H2,12,13,14)(H2,15,16,17)/t2-,3+,4+,5+,6-,7?/m1/s1",,,,,,,,,,
"D-Glycero-D-manno-heptose 1-phosphate","C7H13O10P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C7H15O10P/c8-1-2(9)6-4(11)3(10)5(12)7(16-6)17-18(13,14)15/h2-12H,1H2,(H2,13,14,15)/p-2/t2-,3+,4+,5+,6-,7?/m1/s1",,,,,,,,,,
"D-Glycero-D-manno-heptose 7-phosphate","C7H15O10P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C7H15O10P/c8-2(1-16-18(13,14)15)6-4(10)3(9)5(11)7(12)17-6/h2-12H,1H2,(H2,13,14,15)/t2-,3+,4+,5+,6-,7?/m1/s1",,,,,,,,,,
"Decanoate (N-C10:0)","C10H19O2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C10H20O2/c1-2-3-4-5-6-7-8-9-10(11)12/h2-9H2,1H3,(H,11,12)/p-1",,,,,,,,,,
"Dihydroneopterin monophosphate","C9H12N5O7P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C9H14N5O7P/c10-9-13-7-5(8(17)14-9)12-3(1-11-7)6(16)4(15)2-21-22(18,19)20/h4,6,15-16H,1-2H2,(H2,18,19,20)(H4,10,11,13,14,17)/p-2/t4-,6+/m1/s1",,,,,,,,,,
"Dodecanoate (N-C12:0)","C12H23O2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C12H24O2/c1-2-3-4-5-6-7-8-9-10-11-12(13)14/h2-11H2,1H3,(H,13,14)/p-1",,,,,,,,,,
