Name,Formula,RT,MainPositiveAdduct,MainNegativeAdduct,InChI,KEGG,CAS,PubChem,ChemSpider,UserId,BioCyc,HMDB,Metlin,LipidMaps,
"PE(14:0/12:0(3-OH))","C31H62NO9P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C31H62NO9P/c1-3-5-7-9-11-12-13-14-16-18-20-22-30(34)38-26-29(27-40-42(36,37)39-24-23-32)41-31(35)25-28(33)21-19-17-15-10-8-6-4-2/h28-29,33H,3-27,32H2,1-2H3,(H,36,37)/t28?,29-/m1/s1",,,,,,,,,,
"PE(14:0/14:0(3-OH))","C33H66NO9P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C33H66NO9P/c1-3-5-7-9-11-13-14-16-18-20-22-24-32(36)40-28-31(29-42-44(38,39)41-26-25-34)43-33(37)27-30(35)23-21-19-17-15-12-10-8-6-4-2/h30-31,35H,3-29,34H2,1-2H3,(H,38,39)/t30?,31-/m1/s1",,,,,,,,,,
"PE(14:0/19:iso)","C38H76NO8P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C38H76NO8P/c1-4-5-6-7-8-9-13-17-20-23-26-29-37(40)44-33-36(34-46-48(42,43)45-32-31-39)47-38(41)30-27-24-21-18-15-12-10-11-14-16-19-22-25-28-35(2)3/h35-36H,4-34,39H2,1-3H3,(H,42,43)/t36-/m1/s1",,,,,,,,,,
"PE(15:0/10:0(3-OH))","C30H60NO9P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C30H60NO9P/c1-3-5-7-9-10-11-12-13-14-15-17-19-21-29(33)37-25-28(26-39-41(35,36)38-23-22-31)40-30(34)24-27(32)20-18-16-8-6-4-2/h27-28,32H,3-26,31H2,1-2H3,(H,35,36)/t27?,28-/m1/s1",,,,,,,,,,
"PE(16:1(9Z)/12:0(3-OH))","C33H64NO9P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C33H64NO9P/c1-3-5-7-9-11-12-13-14-15-16-18-20-22-24-32(36)40-28-31(29-42-44(38,39)41-26-25-34)43-33(37)27-30(35)23-21-19-17-10-8-6-4-2/h12-13,30-31,35H,3-11,14-29,34H2,1-2H3,(H,38,39)/b13-12-/t30?,31-/m1/s1",,,,,,,,,,
"PE(16:1(9Z)/14:0(3-OH))","C35H68NO9P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C35H68NO9P/c1-3-5-7-9-11-13-14-15-16-18-20-22-24-26-34(38)42-30-33(31-44-46(40,41)43-28-27-36)45-35(39)29-32(37)25-23-21-19-17-12-10-8-6-4-2/h13-14,32-33,37H,3-12,15-31,36H2,1-2H3,(H,40,41)/b14-13-/t32?,33-/m1/s1",,,,,,,,,,
"PE(16:1(9Z)/19:iso)","C40H78NO8P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C40H78NO8P/c1-4-5-6-7-8-9-10-12-16-19-22-25-28-31-39(42)46-35-38(36-48-50(44,45)47-34-33-41)49-40(43)32-29-26-23-20-17-14-11-13-15-18-21-24-27-30-37(2)3/h9-10,37-38H,4-8,11-36,41H2,1-3H3,(H,44,45)/b10-9-/t38-/m1/s1",,,,,,,,,,
"PE(17:0cycw7c/10:0(3-OH))","C32H62NO9P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C32H62NO9P/c1-3-5-7-10-15-19-29(34)24-32(36)42-30(26-41-43(37,38)40-22-21-33)25-39-31(35)20-16-12-9-11-14-18-28-23-27(28)17-13-8-6-4-2/h27-30,34H,3-26,33H2,1-2H3,(H,37,38)/t27?,28?,29?,30-/m1/s1",,,,,,,,,,
"PG(10:0(3-OH)/16:0)","C32H63O11P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C32H63O11P/c1-3-5-7-9-10-11-12-13-14-15-16-18-20-22-31(36)40-26-30(27-42-44(38,39)41-25-29(35)24-33)43-32(37)23-28(34)21-19-17-8-6-4-2/h28-30,33-35H,3-27H2,1-2H3,(H,38,39)/t28?,29-,30+/m0/s1",,,,,,,,,,
"PG(10:0(3-OH)/16:1(9Z))","C32H61O11P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C32H61O11P/c1-3-5-7-9-10-11-12-13-14-15-16-18-20-22-31(36)40-26-30(27-42-44(38,39)41-25-29(35)24-33)43-32(37)23-28(34)21-19-17-8-6-4-2/h11-12,28-30,33-35H,3-10,13-27H2,1-2H3,(H,38,39)/b12-11-/t28?,29-,30+/m0/s1",,,,,,,,,,
"PG(10:0(3-OH)/17:0cycw7c)","C33H63O11P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C33H63O11P/c1-3-5-7-10-15-19-29(35)22-33(38)44-31(26-43-45(39,40)42-24-30(36)23-34)25-41-32(37)20-16-12-9-11-14-18-28-21-27(28)17-13-8-6-4-2/h27-31,34-36H,3-26H2,1-2H3,(H,39,40)/t27?,28?,29?,30-,31+/m0/s1",,,,,,,,,,
"PG(10:0(3-OH)/18:1(9Z))","C34H65O11P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C34H65O11P/c1-3-5-7-9-10-11-12-13-14-15-16-17-18-20-22-24-33(38)42-28-32(29-44-46(40,41)43-27-31(37)26-35)45-34(39)25-30(36)23-21-19-8-6-4-2/h13-14,30-32,35-37H,3-12,15-29H2,1-2H3,(H,40,41)/b14-13-/t30?,31-,32+/m0/s1",,,,,,,,,,
"PG(10:0(3-OH)/19:0cycv8c)","C35H67O11P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C35H67O11P/c1-3-5-7-12-17-21-31(37)24-35(40)46-33(28-45-47(41,42)44-26-32(38)25-36)27-43-34(39)22-18-14-11-9-10-13-16-20-30-23-29(30)19-15-8-6-4-2/h29-33,36-38H,3-28H2,1-2H3,(H,41,42)/t29?,30?,31?,32-,33+/m0/s1",,,,,,,,,,
"PG(10:0(3-OH)/19:iso)","C35H69O11P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C35H69O11P/c1-4-5-6-16-20-23-31(37)25-35(40)43-28-33(29-45-47(41,42)44-27-32(38)26-36)46-34(39)24-21-18-15-13-11-9-7-8-10-12-14-17-19-22-30(2)3/h30-33,36-38H,4-29H2,1-3H3,(H,41,42)",,,,,,,,,,
"PG(10:0/10:0(3-OH))","C26H51O11P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C26H51O11P/c1-3-5-7-9-10-12-14-16-25(30)37-24(21-36-38(32,33)35-19-23(29)18-27)20-34-26(31)17-22(28)15-13-11-8-6-4-2/h22-24,27-29H,3-21H2,1-2H3,(H,32,33)/t22?,23-,24+/m0/s1",,,,,,,,,,
"PG(10:0/12:0(3-OH))","C28H55O11P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C28H55O11P/c1-3-5-7-9-11-13-15-17-24(30)19-28(33)36-22-26(23-38-40(34,35)37-21-25(31)20-29)39-27(32)18-16-14-12-10-8-6-4-2/h24-26,29-31H,3-23H2,1-2H3,(H,34,35)/t24?,25-,26+/m0/s1",,,,,,,,,,
"Selenate","H2O4Se",0.00000,"[M+H]+","[M-H]-","InChI=1S/H2O4Se/c1-5(2,3)4/h(H2,1,2,3,4)",,,,,,,,,,
"L-Alanyl-tRNA","C6H14O12P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C6H14O12P2/c7-3-2(1-16-19(10,11)12)17-6(5(9)4(3)8)18-20(13,14)15/h2-9H,1H2,(H2,10,11,12)(H2,13,14,15)/t2-,3-,4+,5+,6-/m1/s1",,,,,,,,,,
"L-Threonylcarbamoyladenylate","C15H21N6O11P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C15H21N6O11P/c1-5(22)7(14(25)26)20-15(27)32-33(28,29)30-2-6-9(23)10(24)13(31-6)21-4-19-8-11(16)17-3-18-12(8)21/h3-7,9-10,13,22-24H,2H2,1H3,(H,20,27)(H,25,26)(H,28,29)(H2,16,17,18)/t5-,6-,7+,9-,10-,13-/m1/s1",,,,,,,,,,
"superoxide","HO2",0.00000,"[M+H]+","[M-H]-","InChI=1S/HO2/c1-2/h1H",,,,,,,,,,
"Cu(+)","Cu",0.00000,"[M+H]+","[M-H]-","InChI=1S/Cu/q+1",,,,,,,,,,
"5-amino-6-(D-ribitylamino)uracil","C9H16N4O6",0.00000,"[M+H]+","[M-H]-","InChI=1S/C9H16N4O6/c10-5-7(12-9(19)13-8(5)18)11-1-3(15)6(17)4(16)2-14/h3-4,6,14-17H,1-2,10H2,(H3,11,12,13,18,19)/t3-,4+,6-/m0/s1",,,,,,,,,,
"5-carboxyamino-1-(5-phospho-D-ribosyl)imidazole","C9H14N3O9P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C9H14N3O9P/c13-6-4(2-20-22(17,18)19)21-8(7(6)14)12-3-10-1-5(12)11-9(15)16/h1,3-4,6-8,11,13-14H,2H2,(H,15,16)(H2,17,18,19)/t4-,6-,7-,8-/m1/s1",,,,,,,,,,
"2-(Formamido)-N(1)-(5-phospho-D-ribosyl)acetamidine","C8H16N3O8P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C8H16N3O8P/c9-5(1-10-3-12)11-8-7(14)6(13)4(19-8)2-18-20(15,16)17/h3-4,6-8,13-14H,1-2H2,(H2,9,11)(H,10,12)(H2,15,16,17)/t4-,6-,7-,8?/m1/s1",,,,,,,,,,
"D-glycero-beta-D-manno-heptose 7-phosphate","C7H15O10P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C7H15O10P/c8-2(1-16-18(13,14)15)6-4(10)3(9)5(11)7(12)17-6/h2-12H,1H2,(H2,13,14,15)/t2-,3+,4+,5+,6-,7-/m1/s1",,,,,,,,,,
"5'-Phospho-ribosylglycinamide","C7H15N2O8P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C7H15N2O8P/c8-1-4(10)9-7-6(12)5(11)3(17-7)2-16-18(13,14)15/h3,5-7,11-12H,1-2,8H2,(H,9,10)(H2,13,14,15)/t3-,5-,6-,7?/m1/s1",,,,,,,,,,
"N-Acetyl-L-methionine","C7H13NO3S",0.00000,"[M+H]+","[M-H]-","InChI=1S/C7H13NO3S/c1-5(9)8-6(7(10)11)3-4-12-2/h6H,3-4H2,1-2H3,(H,8,9)(H,10,11)/t6-/m0/s1",,,,,,,,,,
"(2S,3S)-2-hydroxybutane-1,2,3-tricarboxylate","C7H10O7",0.00000,"[M+H]+","[M-H]-","InChI=1S/C7H10O7/c1-3(5(10)11)7(14,6(12)13)2-4(8)9/h3,14H,2H2,1H3,(H,8,9)(H,10,11)(H,12,13)/t3-,7+/m1/s1",,,,,,,,,,
"(2R,3S)-2-Hydroxybutane-1,2,3-tricarboxylate","C7H10O7",0.00000,"[M+H]+","[M-H]-","InChI=1S/C7H10O7/c1-3(5(10)11)7(14,6(12)13)2-4(8)9/h3,14H,2H2,1H3,(H,8,9)(H,10,11)(H,12,13)/t3-,7-/m1/s1",,,,,,,,,,
"2-((2R,5Z)-2-Carboxy-4-methylthiazol-5(2H)-ylidene)ethyl phosphate","C7H7NO6PS",0.00000,"[M+H]+","[M-H]-","InChI=1S/C7H10NO6PS/c1-4-5(2-3-14-15(11,12)13)16-6(8-4)7(9)10/h2,6H,3H2,1H3,(H,9,10)(H2,11,12,13)/p-3/b5-2-",,,,,,,,,,
"Quinone","C6H4O2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C6H4O2/c7-5-1-2-6(8)4-3-5/h1-4H",,,,,,,,,,
"Alpha-D-glucose 6-phosphate","C6H13O9P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C6H13O9P/c7-3-2(1-14-16(11,12)13)15-6(10)5(9)4(3)8/h2-10H,1H2,(H2,11,12,13)/t2-,3-,4+,5-,6+/m1/s1",,,,,,,,,,
"S-Carboxymethyl-L-cysteine","C5H9NO4S",0.00000,"[M+H]+","[M-H]-","InChI=1S/C5H9NO4S/c6-3(5(9)10)1-11-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/t3-/m0/s1",,,,,,,,,,
"(S)-1-pyrroline-5-carboxylate","C5H7NO2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C5H7NO2/c7-5(8)4-2-1-3-6-4/h3-4H,1-2H2,(H,7,8)/t4-/m0/s1",,,,,,,,,,
"2-C-Methyl-D-erythritol 2,4-cyclodiphosphate","C5H12O9P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C5H12O9P2/c1-5(3-6)4(7)2-12-15(8,9)14-16(10,11)13-5/h4,6-7H,2-3H2,1H3,(H,8,9)(H,10,11)/t4-,5+/m1/s1",,,,,,,,,,
"L-methionine (S)-S-oxide","C5H11NO3S",0.00000,"[M+H]+","[M-H]-","InChI=1S/C5H11NO3S/c1-10(9)3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)/t4-,10-/m0/s1",,,,,,,,,,
"1-Deoxy-L-glycero-tetrulose 4-phosphate","C4H9O6P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C4H9O6P/c1-3(5)4(6)2-10-11(7,8)9/h4,6H,2H2,1H3,(H2,7,8,9)",,,,,,,,,,
"2-Methyl-3-oxopropanoate","C4H6O3",0.00000,"[M+H]+","[M-H]-","InChI=1S/C4H6O3/c1-3(2-5)4(6)7/h2-3H,1H3,(H,6,7)",,,,,,,,,,
"Ferrocytochrome c","C5H12",0.00000,"[M+H]+","[M-H]-","InChI=1S/C5H12/c1-3-5-4-2/h3-5H2,1-2H3",,,,,,,,,,
"Geranyl diphosphate","C40H68O7P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C40H68O7P2/c1-33(2)17-13-21-37(9)25-29-43-48(41,44-30-26-38(10)22-14-18-34(3)4)47-49(42,45-31-27-39(11)23-15-19-35(5)6)46-32-28-40(12)24-16-20-36(7)8/h17-20,25-28H,13-16,21-24,29-32H2,1-12H3/b37-25+,38-26+,39-27+,40-28+",,,,,,,,,,
"3-phospho-D-glyceroyl phosphate","C3H8O10P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C3H8O10P2/c4-2(1-12-14(6,7)8)3(5)13-15(9,10)11/h2,4H,1H2,(H2,6,7,8)(H2,9,10,11)/t2-/m1/s1",,,,,,,,,,
"2-iminoacetate","C2H3NO2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C2H3NO2/c3-1-2(4)5/h1,3H,(H,4,5)",,,,,,,,,,
"3-Alpha,7-alpha,12-alpha-trihydroxy-5-beta-cholanate","C24H40O5",0.00000,"[M+H]+","[M-H]-","InChI=1S/C24H40O5/c1-13(4-7-21(28)29)16-5-6-17-22-18(12-20(27)24(16,17)3)23(2)9-8-15(25)10-14(23)11-19(22)26/h13-20,22,25-27H,4-12H2,1-3H3,(H,28,29)/t13-,14+,15-,16-,17+,18+,19-,20+,22+,23+,24-/m1/s1",,,,,,,,,,
"epoxyqueuosine","C17H23N5O8",0.00000,"[M+H]+","[M-H]-","InChI=1S/C17H23N5O8/c18-17-20-14-6(15(28)21-17)4(1-19-7-9(25)10(26)13-12(7)30-13)2-22(14)16-11(27)8(24)5(3-23)29-16/h2,5,7-13,16,19,23-27H,1,3H2,(H3,18,20,21,28)/t5-,7?,8-,9?,10?,11-,12?,13?,16-/m1/s1",,,,,,,,,,
"FMNH(2)","C17H21N4O9P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C17H23N4O9P/c1-7-3-9-10(4-8(7)2)21(15-13(18-9)16(25)20-17(26)19-15)5-11(22)14(24)12(23)6-30-31(27,28)29/h3-4,11-12,14,18,22-24H,5-6H2,1-2H3,(H2,27,28,29)(H2,19,20,25,26)/p-2/t11-,12+,14-/m0/s1",,,,,,,,,,
"1-(5-phosphoribosyl)-5-((5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide","C15H21N5O15P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C15H25N5O15P2/c16-12(25)7-13(17-3-18-14-10(23)8(21)5(34-14)1-32-36(26,27)28)20(4-19-7)15-11(24)9(22)6(35-15)2-33-37(29,30)31/h3-6,8-11,14-15,21-24H,1-2H2,(H2,16,25)(H,17,18)(H2,26,27,28)(H2,29,30,31)/p-4/t5-,6-,8-,9-,10-,11-,14-,15-/m1/s1",,,,,,,,,,
"UDP-4-Deoxy-4-formamido-beta-L-arabinose","C15H23N3O16P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C15H23N3O16P2/c19-5-16-6-3-30-14(12(24)9(6)21)33-36(28,29)34-35(26,27)31-4-7-10(22)11(23)13(32-7)18-2-1-8(20)17-15(18)25/h1-2,5-7,9-14,21-24H,3-4H2,(H,16,19)(H,26,27)(H,28,29)(H,17,20,25)/t6-,7+,9-,10+,11+,12+,13+,14+/m0/s1",,,,,,,,,,
"UDP-beta-L-Threo-pentapyranos-4-ulose","C14H20N2O16P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C14H20N2O16P2/c17-5-3-28-13(11(22)8(5)19)31-34(26,27)32-33(24,25)29-4-6-9(20)10(21)12(30-6)16-2-1-7(18)15-14(16)23/h1-2,6,8-13,19-22H,3-4H2,(H,24,25)(H,26,27)(H,15,18,23)/t6-,8+,9-,10-,11-,12?,13-/m1/s1",,,,,,,,,,
"7-Aminomethyl-7-deazaguanosine","C12H17N5O5",0.00000,"[M+H]+","[M-H]-","InChI=1S/C12H17N5O5/c13-1-4-2-17(9-6(4)10(21)16-12(14)15-9)11-8(20)7(19)5(3-18)22-11/h2,5,7-8,11,18-20H,1,3,13H2,(H3,14,15,16,21)/t5-,7-,8-,11-/m1/s1",,,,,,,,,,
"pantotheine 4'-phosphate","C11H23N2O7PS",0.00000,"[M+H]+","[M-H]-","InChI=1S/C11H23N2O7PS/c1-11(2,7-20-21(17,18)19)9(15)10(16)13-4-3-8(14)12-5-6-22/h9,15,22H,3-7H2,1-2H3,(H,12,14)(H,13,16)(H2,17,18,19)",,,,,,,,,,
"NMN","C11H16N2O8P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C11H15N2O8P/c12-10(16)6-2-1-3-13(4-6)11-9(15)8(14)7(21-11)5-20-22(17,18)19/h1-4,7-9,11,14-15H,5H2,(H3-,12,16,17,18,19)/p+1/t7-,8-,9-,11-/m1/s1",,,,,,,,,,
"8-oxo-dGTP","C10H16N5O14P3",0.00000,"[M+H]+","[M-H]-","InChI=1S/C10H16N5O14P3/c11-9-13-7-6(8(17)14-9)12-10(18)15(7)5-1-3(16)4(27-5)2-26-31(22,23)29-32(24,25)28-30(19,20)21/h3-5,16H,1-2H2,(H,12,18)(H,22,23)(H,24,25)(H2,19,20,21)(H3,11,13,14,17)/t3-,4+,5+/m0/s1",,,,,,,,,,
"8-oxo-dGMP","C10H14N5O8P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C10H14N5O8P/c11-9-13-7-6(8(17)14-9)12-10(18)15(7)5-1-3(16)4(23-5)2-22-24(19,20)21/h3-5,16H,1-2H2,(H,12,18)(H2,19,20,21)(H3,11,13,14,17)/t3-,4+,5+/m0/s1",,,,,,,,,,
"2,3-bis((3R)-3-hydroxymyristoyl)-beta-D-glucosaminyl 1-phosphate","C34H66NO12P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C34H66NO12P/c1-3-5-7-9-11-13-15-17-19-21-26(37)23-29(39)35-31-33(32(41)28(25-36)45-34(31)47-48(42,43)44)46-30(40)24-27(38)22-20-18-16-14-12-10-8-6-4-2/h26-28,31-34,36-38,41H,3-25H2,1-2H3,(H,35,39)(H2,42,43,44)/t26-,27-,28-,31-,32-,33-,34-/m1/s1",,,,,,,,,,
"DG(10:0/10:0/0:0)","C23H44O5",0.00000,"[M+H]+","[M-H]-","InChI=1S/C23H44O5/c1-3-5-7-9-11-13-15-17-22(25)27-19-21(24)20-28-23(26)18-16-14-12-10-8-6-4-2/h21,24H,3-20H2,1-2H3",,,,,,,,,,
"DG(10:0/12:0/0:0)","C25H48O5",0.00000,"[M+H]+","[M-H]-","InChI=1S/C25H48O5/c1-3-5-7-9-11-12-14-16-18-20-25(28)30-22-23(26)21-29-24(27)19-17-15-13-10-8-6-4-2/h23,26H,3-22H2,1-2H3/t23-/m0/s1",,,,,,,,,,
"DG(10:0/14:0/0:0)","C27H52O5",0.00000,"[M+H]+","[M-H]-","InChI=1S/C27H52O5/c1-3-5-7-9-11-12-13-14-16-18-20-22-27(30)32-24-25(28)23-31-26(29)21-19-17-15-10-8-6-4-2/h25,28H,3-24H2,1-2H3/t25-/m0/s1",,,,,,,,,,
"DG(10:0/15:0/0:0)","C28H54O5",0.00000,"[M+H]+","[M-H]-","InChI=1S/C28H54O5/c1-3-5-7-9-11-12-13-14-15-17-19-21-23-28(31)33-25-26(29)24-32-27(30)22-20-18-16-10-8-6-4-2/h26,29H,3-25H2,1-2H3/t26-/m0/s1",,,,,,,,,,
"DG(10:0/16:0/0:0)","C29H56O5",0.00000,"[M+H]+","[M-H]-","InChI=1S/C29H56O5/c1-3-5-7-9-11-12-13-14-15-16-18-20-22-24-29(32)34-26-27(30)25-33-28(31)23-21-19-17-10-8-6-4-2/h27,30H,3-26H2,1-2H3/t27-/m0/s1",,,,,,,,,,
"DG(10:0/16:1(9Z)/0:0)","C29H54O5",0.00000,"[M+H]+","[M-H]-","InChI=1S/C29H54O5/c1-3-5-7-9-11-12-13-14-15-16-18-20-22-24-29(32)34-26-27(30)25-33-28(31)23-21-19-17-10-8-6-4-2/h12-13,27,30H,3-11,14-26H2,1-2H3/b13-12-/t27-/m0/s1",,,,,,,,,,
"DG(10:0/18:0/0:0)","C31H60O5",0.00000,"[M+H]+","[M-H]-","InChI=1S/C31H60O5/c1-3-5-7-9-11-12-13-14-15-16-17-18-20-22-24-26-31(34)36-28-29(32)27-35-30(33)25-23-21-19-10-8-6-4-2/h29,32H,3-28H2,1-2H3/t29-/m0/s1",,,,,,,,,,
"DG(10:0/18:1(9Z)/0:0)","C31H58O5",0.00000,"[M+H]+","[M-H]-","InChI=1S/C31H58O5/c1-3-5-7-9-11-12-13-14-15-16-17-18-20-22-24-26-31(34)36-28-29(32)27-35-30(33)25-23-21-19-10-8-6-4-2/h14-15,29,32H,3-13,16-28H2,1-2H3/b15-14-/t29-/m0/s1",,,,,,,,,,
"DG(10:0/19:1(9Z)/0:0)","C32H60O5",0.00000,"[M+H]+","[M-H]-","InChI=1S/C32H60O5/c1-3-5-7-9-11-12-13-14-15-16-17-18-19-21-23-25-27-32(35)37-29-30(33)28-36-31(34)26-24-22-20-10-8-6-4-2/h15-16,30,33H,3-14,17-29H2,1-2H3/b16-15-/t30-/m0/s1",,,,,,,,,,
"DG(12:0/10:0/0:0)","C25H48O5",0.00000,"[M+H]+","[M-H]-","InChI=1S/C25H48O5/c1-3-5-7-9-11-12-14-16-18-20-25(28)30-22-23(26)21-29-24(27)19-17-15-13-10-8-6-4-2/h23,26H,3-22H2,1-2H3/t23-/m1/s1",,,,,,,,,,
"DG(12:0/12:0/0:0)","C27H52O5",0.00000,"[M+H]+","[M-H]-","InChI=1S/C27H52O5/c1-3-5-7-9-11-13-15-17-19-21-26(29)31-23-25(28)24-32-27(30)22-20-18-16-14-12-10-8-6-4-2/h25,28H,3-24H2,1-2H3",,,,,,,,,,
"DG(12:0/14:0/0:0)","C29H56O5",0.00000,"[M+H]+","[M-H]-","InChI=1S/C29H56O5/c1-3-5-7-9-11-13-14-16-18-20-22-24-29(32)34-26-27(30)25-33-28(31)23-21-19-17-15-12-10-8-6-4-2/h27,30H,3-26H2,1-2H3/t27-/m0/s1",,,,,,,,,,
"DG(12:0/15:0/0:0)","C30H58O5",0.00000,"[M+H]+","[M-H]-","InChI=1S/C30H58O5/c1-3-5-7-9-11-13-14-15-17-19-21-23-25-30(33)35-27-28(31)26-34-29(32)24-22-20-18-16-12-10-8-6-4-2/h28,31H,3-27H2,1-2H3/t28-/m0/s1",,,,,,,,,,
"DG(12:0/18:1(9Z)/0:0)","C33H62O5",0.00000,"[M+H]+","[M-H]-","InChI=1S/C33H62O5/c1-3-5-7-9-11-13-14-15-16-17-18-20-22-24-26-28-33(36)38-30-31(34)29-37-32(35)27-25-23-21-19-12-10-8-6-4-2/h15-16,31,34H,3-14,17-30H2,1-2H3/b16-15-/t31-/m0/s1",,,,,,,,,,
"DG(12:0/19:1(9Z)/0:0)","C34H64O5",0.00000,"[M+H]+","[M-H]-","InChI=1S/C34H64O5/c1-3-5-7-9-11-13-14-15-16-17-18-19-21-23-25-27-29-34(37)39-31-32(35)30-38-33(36)28-26-24-22-20-12-10-8-6-4-2/h16-17,32,35H,3-15,18-31H2,1-2H3/b17-16-/t32-/m0/s1",,,,,,,,,,
"DG(14:0/10:0/0:0)","C27H52O5",0.00000,"[M+H]+","[M-H]-","InChI=1S/C27H52O5/c1-3-5-7-9-11-12-13-14-16-18-20-22-27(30)32-24-25(28)23-31-26(29)21-19-17-15-10-8-6-4-2/h25,28H,3-24H2,1-2H3/t25-/m1/s1",,,,,,,,,,
"DG(14:0/12:0/0:0)","C29H56O5",0.00000,"[M+H]+","[M-H]-","InChI=1S/C29H56O5/c1-3-5-7-9-11-13-14-16-18-20-22-24-29(32)34-26-27(30)25-33-28(31)23-21-19-17-15-12-10-8-6-4-2/h27,30H,3-26H2,1-2H3/t27-/m1/s1",,,,,,,,,,
"DG(14:0/14:0/0:0)","C31H60O5",0.00000,"[M+H]+","[M-H]-","InChI=1S/C31H60O5/c1-3-5-7-9-11-13-15-17-19-21-23-25-30(33)35-27-29(32)28-36-31(34)26-24-22-20-18-16-14-12-10-8-6-4-2/h29,32H,3-28H2,1-2H3",,,,,,,,,,
"DG(14:0/15:0/0:0)","C32H62O5",0.00000,"[M+H]+","[M-H]-","InChI=1S/C32H62O5/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-32(35)37-29-30(33)28-36-31(34)26-24-22-20-18-16-14-12-10-8-6-4-2/h30,33H,3-29H2,1-2H3/t30-/m0/s1",,,,,,,,,,
"DG(14:0/16:0/0:0)","C33H64O5",0.00000,"[M+H]+","[M-H]-","InChI=1S/C33H64O5/c1-3-5-7-9-11-13-15-16-18-20-22-24-26-28-33(36)38-30-31(34)29-37-32(35)27-25-23-21-19-17-14-12-10-8-6-4-2/h31,34H,3-30H2,1-2H3/t31-/m0/s1",,,,,,,,,,
"DG(14:0/16:1(9Z)/0:0)","C33H62O5",0.00000,"[M+H]+","[M-H]-","InChI=1S/C33H62O5/c1-3-5-7-9-11-13-15-16-18-20-22-24-26-28-33(36)38-30-31(34)29-37-32(35)27-25-23-21-19-17-14-12-10-8-6-4-2/h13,15,31,34H,3-12,14,16-30H2,1-2H3/b15-13-/t31-/m0/s1",,,,,,,,,,
"DG(14:0/18:0/0:0)","C35H68O5",0.00000,"[M+H]+","[M-H]-","InChI=1S/C35H68O5/c1-3-5-7-9-11-13-15-16-17-18-20-22-24-26-28-30-35(38)40-32-33(36)31-39-34(37)29-27-25-23-21-19-14-12-10-8-6-4-2/h33,36H,3-32H2,1-2H3/t33-/m0/s1",,,,,,,,,,
"DG(14:0/18:1(9Z)/0:0)","C35H66O5",0.00000,"[M+H]+","[M-H]-","InChI=1S/C35H66O5/c1-3-5-7-9-11-13-15-16-17-18-20-22-24-26-28-30-35(38)40-32-33(36)31-39-34(37)29-27-25-23-21-19-14-12-10-8-6-4-2/h16-17,33,36H,3-15,18-32H2,1-2H3/b17-16-/t33-/m0/s1",,,,,,,,,,
"DG(14:0/19:1(9Z)/0:0)","C36H68O5",0.00000,"[M+H]+","[M-H]-","InChI=1S/C36H68O5/c1-3-5-7-9-11-13-15-16-17-18-19-21-23-25-27-29-31-36(39)41-33-34(37)32-40-35(38)30-28-26-24-22-20-14-12-10-8-6-4-2/h17-18,34,37H,3-16,19-33H2,1-2H3/b18-17-/t34-/m0/s1",,,,,,,,,,
