,mz,mzmin,mzmax,rt,rtmin,rtmax,npeaks,knockout,wildtype,ms_level,A_1,A_2,A_3,A_4,A_5,B_1,B_2,B_3,B_4,B_5,isotopes,adduct,pcgroup
FT744,316.9475215,316.9471925,316.9485408,1222.083984,1221.080444,1222.873901,5,2,3,1,237543.4392,218114.0531,214802.04,250954.812,199614.3768,247870.7589,205360.7272,132773.2818,158744.9829,148788.1571,,[M+Cl+NaCOOH]- 213.991 [M-H+NaCOOH]- 249.967,78
FT1209,452.9217898,452.9214926,452.9225456,1222.614,1220.840698,1236.866577,5,1,3,1,138869.3434,58271.69468,149544.4134,487009.4855,154539.8701,333500.7345,315500.8074,164108.9964,130941.3283,47670.52939,,,78
FT587,281.247949,281.2476138,281.249055,1225.350342,1224.833618,1225.871216,9,4,5,1,42476.95771,47713.41,29763.21981,27806.88096,25322.2824,34824.8358,48853.908,NA,29500.03175,24379.76291,,[M+Cl]- 246.279 [M-H]- 282.255,183
FT914,349.2353255,349.2347278,349.2367204,1225.350342,1224.833618,1225.647,9,4,5,1,18490.25505,20907.7022,13470.65452,12623.08823,11899.6504,17671.48104,20876.5578,NA,14877.97336,8367.485294,,[M+Cl+NaCOOH]- 246.279 [M-H+NaCOOH]- 282.255,183
FT1551,621.1839492,621.1833513,621.1862418,1225.487244,1225.111328,1225.847046,6,3,3,1,8819.87355,9257.171333,6602.496,4836.901956,5207.07019,7369.681667,9560.449263,NA,6697.621895,1292.457031,,[M+Cl+NaCOOH]- 518.227 [M-H+NaCOOH]- 554.204 [M+Cl]- 586.215 [M-H]- 622.191,183
FT1439,553.19675,553.1962731,553.1987083,1225.635573,1225.130981,1226.135742,8,3,5,1,9894.022526,10391.65089,7087.5805,5777.981333,6637.72,7737.582125,11159.90333,NA,7681.785,1361.826729,,[M+Cl+NaCOOH]- 450.24 [M-H+NaCOOH]- 486.217 [M+Cl]- 518.227 [M-H]- 554.204,183
FT1299,485.2094855,485.2088206,485.2113087,1225.744995,1225.619507,1226.154,8,3,5,1,10591.14042,13309.602,7759.724211,6761.586562,7098.688235,9763.94705,12941.10491,NA,8597.233895,3373.10575,,[M+Cl]- 450.24 [M-H]- 486.217,183
FT1650,689.1713334,689.1711903,689.1735838,1225.744995,1225.111328,1225.871216,6,3,3,1,9703.1192,10493.23636,4869.951108,5037.731833,5193.722582,7493.494765,9923.9168,NA,6646.81,1305.253929,,[M+Cl+NaCOOH]- 586.215 [M-H+NaCOOH]- 622.191,183
FT1196,451.3784362,451.3777661,451.3802156,1227.67,1226.338013,1239.808594,13,4,5,1,17385.94367,15965.8368,14133.34118,14078.12224,13603.11529,12844.20188,13161.198,NA,14026.54376,13551.04472,,,295
FT1008,380.2954015,380.2947553,380.296579,1233.3573,1232.831421,1233.722412,9,4,5,1,20928.26819,18288.99432,15905.9488,14190.1158,16313.6105,20447.28079,16522.694,NA,14868.63825,14086.77391,,,265
FT1612,666.0583987,666.0577236,666.0598238,1245.881836,1245.865,1246.381104,5,3,2,1,7704.848941,3587.77453,2476.879819,2250.839905,4854.270417,8547.4662,5391.4944,NA,13334.70309,NA,,,326
FT1220,453.394203,453.3935888,453.394982,1252.436294,1248.414429,1252.944336,10,5,5,1,25926.55471,21601.31782,20326.155,20765.784,21413.42262,20582.6754,20968.48755,6220.1456,22233.43364,17619.94457,[168][M]-,,255
FT1229,454.3980998,454.3973461,454.3981774,1252.942993,1252.938965,1253.446289,3,0,3,1,5691.206769,4364.090848,5652.608,4837.497538,4064.172072,4246.304565,4976.470459,NA,4652.402379,3219.920192,[168][M+1]-,,255
FT1304,489.2765649,489.2763873,489.2778776,1258.505127,1255.991943,1259.015869,9,4,5,1,14867.2854,11087.22113,15863.95029,15222.74214,16532.09727,13064.31658,16326.28291,12060.03676,16582.02248,NA,,,202
FT1266,473.2819202,473.2814758,473.2833175,1258.987488,1257.491821,1259.526,8,3,5,1,63899.7343,55728.28955,43859.52521,46607.2822,42310.19642,37114.05147,39594.8309,NA,41460.3684,NA,[174][M]-,,202
FT1267,474.2852785,474.2848549,474.2864313,1259.013245,1258,1260.025391,8,3,5,1,18776.75653,17024.48836,13247.07222,13262.35212,10905.65414,9577.176955,11725.8736,NA,12023.47183,NA,[174][M+1]-,,202
FT1178,441.3941042,441.3931307,441.3950729,1266.593872,1266.552612,1267.113892,8,3,5,1,6727.283529,5012.736143,5037.632333,5351.198,4951.821562,4265.7108,5031.4805,NA,5275.335833,3899.34376,,,529
FT1221,453.3941788,453.3934503,453.3951667,1267.567261,1266.554565,1269.648071,9,4,5,1,11612.8948,9853.00392,11572.23828,10938.73092,11736.48632,11414.86041,9713.4718,NA,11962.346,9517.519586,,,530
FT742,316.9475875,316.9471763,316.9481429,1268.582031,1254.976685,1273.674805,9,5,4,1,703756.7697,685051.0193,677390.3803,724397.6074,648631.4555,724305.6987,670871.9983,308788.9919,755225.3399,398765.6829,,[M+Cl+NaCOOH]- 213.991 [M-H+NaCOOH]- 249.967,77
FT477,248.9602379,248.959967,248.9607425,1268.632507,1252.958374,1281.765747,10,5,5,1,969460.2163,1065943.354,893430.7475,1045583.226,1088863.148,579487.0153,942982.5845,515625.2555,1074553.372,604855.181,,[M+Cl]- 213.991 [M-H]- 249.967,77
FT1208,452.9221167,452.921801,452.9230921,1272.129761,1267.626,1283.283203,5,2,3,1,331618.9798,370212.789,415025.2623,428261.937,450789.883,248652.8881,411805.8271,181580.4485,305824.0619,222939.2613,,,77
FT891,341.2691104,341.2688126,341.2698807,1277.718872,1276.182739,1278.252075,9,4,5,1,6040.104583,5139.216727,4942.94,5810.020615,5119.423273,4838.682273,5286.56,NA,5638.928923,3792.290556,,,342
FT1123,423.3836927,423.3831317,423.3845136,1279.744751,1261.556152,1280.272095,11,5,5,1,33302.81978,29786.86867,29078.36167,29848.61053,27317.86906,27603.81711,29403.62972,31652.89945,30352.68337,27554.25917,,,212
FT952,361.2746739,361.2733277,361.2750928,1286.83606,1285.315918,1287.346069,9,4,5,1,7775.579875,6371.513143,6286.419286,5647.465923,5396.441143,5309.059615,6157.880929,NA,6366.930429,7178.7016,,,558
FT1124,423.3840374,423.3833752,423.3847994,1290.382,1289.370117,1290.919434,9,4,5,1,45053.12491,38309.729,37856.07709,36518.35429,36711.432,36377.75581,37027.105,NA,36935.14524,33346.10286,,,560
FT593,283.2641392,283.2636868,283.2647806,1290.884155,1289.871094,1291.422241,9,4,5,1,76093.336,74483.91063,81945.1761,71053.55589,73148.23242,68461.7591,81780.26589,305.0289371,76801.0523,63362.332,[52][M]-,[M+Cl]- 248.295 [M-H]- 284.271,95
FT599,284.2674445,284.2668917,284.2681298,1290.884155,1290.381958,1291.422241,9,4,5,1,14582.34333,13926.9211,14078.45305,14230.78295,13382.05556,12742.29047,16073.64267,NA,14175.23568,12126.558,[52][M+1]-,,95
FT918,351.2514769,351.2508488,351.2522155,1290.884155,1290.381958,1291.422241,9,4,5,1,42785.4378,41930.01495,44878.8949,41279.1435,42291.04905,39354.4305,45468.7277,NA,43790.8139,29025.74053,[117][M]-,[M+Cl+NaCOOH]- 248.295 [M-H+NaCOOH]- 284.271 [M+Cl]- 316.282 [M-H]- 352.259,95
FT1109,419.238841,419.2380632,419.2396419,1290.884155,1290.381958,1291.422241,9,4,5,1,20001.30358,20472.71073,21065.62579,20462.3927,20098.4322,20307.9828,22216.03317,NA,20421.29811,14497.20686,,[M+Cl+NaCOOH]- 316.282 [M-H+NaCOOH]- 352.259 [M+Cl]- 384.269 [M-H]- 420.246,95
