mz,mzmin,mzmax,rt,rtmin,rtmax,npeaks,AR351_A,AR351_B,AR351_C,Cipro_A,Cipro_B,Cipro_C,Coumermycin_A,Coumermycin_B,Coumermycin_C,CN-DM-861_A,CN-DM-861_B,CN-DM-861_C,Levo_A,Levo_B,Levo_C,Lome_A,Lome_B,Lome_C,Novo_A,Novo_B,Novo_C,untreated_A,untreated_B,untreated_C,isotopes,iso_anno,adduct,pcgroup
359.2786632,359.2784601,359.2786731,956.8602295,956.8411255,957.128418,3,2069.036505,1586.393958,1684.460193,1538.169931,1787.437657,1535.466157,800.6942659,975.0397035,1424.599107,2890.910614,3563.910182,3392.792589,1755.673632,1913.050221,1379.507747,1019.385832,1808.856629,1448.430663,1280.052189,1488.393301,1450.028725,4895.977091,6123.428091,5621.445551,,0,,112
359.2788284,359.2786066,359.2791303,1004.286102,1004.080078,1004.552246,24,14188.52452,12884.95462,12260.056,12004.03539,15174.06167,14472.4954,7777.213146,8864.081247,10219.57803,19155.34058,25003.1752,22385.0084,15080.48187,15149.30774,13387.34665,12779.22978,15770.84375,13464.94228,8730.702982,10582.7412,9426.542031,26569.37956,26961.62757,28121.78151,[93][M]+,0,,65
360.2821938,360.281745,360.2823981,1004.116,1004.107422,1004.371765,5,2264.94834,1790.400852,1932.771193,2065.269101,2193.858178,2430.770377,1368.042908,1245.296451,1693.521923,3181.249358,4316.436729,4409.065308,2826.660543,2552.413478,1862.531998,2042.096936,3248.604518,1639.980377,1283.863817,1894.642722,1223.333956,5017.470679,5164.088728,4908.028305,[93][M+1]+,1,,65
360.3621236,360.361969,360.3621735,1089.66333,1088.916992,1090.953613,19,26453.65661,13820.90916,23781.27151,17409.18852,35440.85514,25448.23486,29888.08815,17794.90484,41893.23778,26708.06443,42502.78505,18596.04823,38601.00132,20405.3441,25012.86845,34292.76422,40635.79658,25214.51911,23478.91812,34882.764,9943.241602,6920.119423,46549.79534,4757.558388,,0,,365
360.7052364,360.7049929,360.7056014,437.6997833,434.861908,439.2290344,14,5921.050829,7385.275615,5996.575583,3532.48957,5920.999991,3183.298825,4393.137744,5724.50757,5052.001029,2712.622448,5616.019028,6677.415729,3530.357745,5334.349648,4444.760399,3299.433986,1757.918133,2766.642828,6396.640155,7211.297979,8164.881418,3571.507098,5593.60462,5651.588916,,0,,228
362.9260985,362.9258669,362.926312,67.00780106,66.41434479,67.60007477,24,24544.72721,21865.46568,24405.378,27088.57073,22474.71607,30725.0469,43063.77457,41949.83239,37616.15261,27296.0809,18595.27899,14010.05873,31267.5865,21333.84767,31161.8295,33303.68827,36822.01558,30083.65815,31061.1394,46690.09538,38930.44056,28166.1577,19958.80914,19576.25675,,0,[M+2Na]2+ 679.872,19
367.6403482,367.6401561,367.640373,356.5070801,356.500824,357.0046997,3,2615.467256,1509.793268,292.2165308,573.3476714,2281.488647,160.3529437,190.7677646,136.5819816,152.1284223,2205.620883,2520.347569,4691.908115,478.1487817,4085.435567,987.9048115,144.343462,209.4261969,768.1845677,2331.044427,132.7189432,724.294518,8487.655712,20680.77105,9611.568531,,0,,374
368.1951482,368.1951312,368.1951759,1038.273071,1037.760864,1038.560547,4,5391.178096,6066.193911,4751.342904,5667.385088,6439.872816,5682.830232,3504.781347,1657.835535,2404.005072,6057.48548,6461.496169,6769.937823,5892.528922,5573.742495,4346.892142,5241.698481,6561.377624,4254.75027,2463.653239,3116.697399,1944.246701,9705.760239,9401.84847,9128.393199,,0,,265
368.2577843,368.2577567,368.2579628,1089.15332,1089.145996,1089.161133,3,2564.48074,2473.219821,2828.769835,4689.572629,5715.812245,2304.143807,2407.679165,1397.601291,1027.779551,5004.049993,2886.474186,2642.796366,1707.548584,1411.826472,2096.861436,2390.473757,3256.005411,2178.138947,591.1186747,101.2126118,95.18098499,2472.344918,2032.666891,2262.984177,,0,,366
369.3470763,369.3468728,369.3472032,783.3699341,783.2453003,783.5088501,4,2034.991028,2350.971615,1568.808697,2384.742299,4778.943318,2712.213486,219.9301138,66.91410061,192.3404849,6153.259647,3902.190088,5431.483749,1218.285584,3753.713671,2816.566898,2770.066371,2120.200609,2507.129791,3069.157927,1762.939728,2533.015032,303.497399,870.0061903,2802.030817,,0,,234
370.051742,370.0515917,370.051869,85.73448181,85.58353424,86.29880524,9,5547.644073,5941.469728,4465.984278,2791.418846,5504.739549,3637.334432,1451.22859,1462.385435,1399.95439,4891.426039,6054.519421,9212.085625,3152.335676,6776.964983,4765.463925,3255.293015,2276.323483,4163.640681,3217.785634,2445.337063,2826.159594,6882.325832,9016.869373,9890.787325,,0,[M+Na]+ 347.063,32
370.2735604,370.2732238,370.273866,1120.976135,1120.692749,1121.200195,24,27592.01291,26256.2134,29529.44755,29995.66506,35567.23297,15743.06829,23116.11207,14770.93714,15666.25256,57763.98742,33707.20689,34963.46149,18499.52743,17688.75623,21083.29985,22565.48641,25711.6031,19800.54603,14490.79455,7893.635288,8550.765046,43108.97554,32638.98473,44166.69291,[96][M]+,0,,80
370.7403918,370.7399207,370.740576,70.59139252,70.34261322,71.03764343,8,2963.837332,3242.689896,3400.402138,2606.87306,2430.020147,1872.101536,1584.993692,1564.574627,1245.145088,1469.487374,1581.742631,1729.579257,1571.362333,1940.651284,2586.595433,1872.377354,1427.120675,2587.216258,1276.658987,1219.536345,831.1554519,1243.156282,1359.087546,2148.578891,,0,[M+K]+ 331.773,91
371.2768954,371.2767043,371.2771274,1120.969727,1120.713379,1121.200195,14,5876.808648,6170.582466,6615.557774,6725.552096,8075.598548,3485.527432,4816.427628,3609.085114,3224.669919,13613.69104,7298.536841,7317.241796,4296.65624,3979.147478,4635.340021,5022.498857,5205.527129,4358.711898,2938.799634,1153.756422,971.3986308,9366.043699,7239.457402,9407.645869,[96][M+1]+,1,,80
372.7376292,372.7371799,372.7379395,70.41281891,69.98391724,71.03764343,23,7209.057007,8018.095634,7182.645494,5991.556706,6222.167743,4948.686611,3949.18797,3595.310659,3409.394504,3158.639577,3235.31003,4372.580693,4040.605649,5271.419753,5758.80102,4246.442066,3427.351269,5708.167226,3037.024972,3213.389262,1827.836606,2915.460696,3515.172811,5852.975977,,0,[M+2H]2+ 743.473,91
