row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,Si11_35840.mzXML Peak area,Si11_35844.mzXML Peak area,Si11_35845.mzXML Peak area,Si11_35843.mzXML Peak area,Si11_35842.mzXML Peak area,Si11_35839.mzXML Peak area,Si11_35841.mzXML Peak area
290,487.360440934121,18.531057,,,,26,,,,,,,163.61615,283.42084,479.4514,272.14862,493.87448,90.79433,171.42274
291,399.308158875346,18.541647,,,,26,,,,,,,662.32275,729.9196,687.9886,769.08905,708.1991,643.0503,710.13934
292,311.255797491503,18.549208,,,,26,,,,,,,882.0795,1662.0864,827.0644,843.1218,794.73627,913.0271,863.07825
293,333.276480074086,18.567362,,,,,,,,,,,161.13135,173.55008,157.52463,149.35147,141.4455,132.17476,167.4524
294,663.465098336761,18.579462,,,,,,,,,,,234.562,274.78546,258.897,261.5712,244.57355,227.33647,146.61807
295,614.483425245734,18.600676,,,,,,,,,,,115.86032,90.94945,53.021305,93.25415,86.27646,169.50293,108.9063
296,619.438790266546,18.608435,,,,,,,,,,,131.5698,324.934,319.34515,334.7286,301.95062,251.6232,291.03046
297,575.412588737291,18.62361,,,,15,42,[M+Na]+,,2,297;298,552.42344,339.13342,382.96466,391.76804,380.70654,340.17007,304.2361,360.61453
298,570.457326514311,18.626497,,,,15,42,[M+NH4]+,,2,297;298,552.42344,199.18463,97.564995,86.1502,96.843475,167.22546,131.15926,95.37091
299,526.43120003761,18.64011,,,,9,43,[M+NH4]+,,2,300;299,508.39733,209.39523,130.19687,62.425774,160.80096,175.63634,232.32022,44.688465
300,531.386499208404,18.643225,,,,9,43,[M+Na]+,,2,299;300,508.39733,226.93388,394.26974,384.43924,365.32993,356.04166,339.97394,335.88626
301,487.360411705554,18.65225,,,,9,,,,,,,471.08972,493.46704,313.66965,507.87177,218.33339,439.38507,441.23276
302,443.334310331077,18.668905,,,,9,,,,,,,407.166,424.58432,652.85944,385.98465,616.12744,369.30878,599.89307
303,99.5123078977617,18.72024,,,,,,,,,,,53.53073,82.90776,215.02888,172.93837,921.69476,48.58806,98.94594
304,427.245405829179,18.782,,,,,,,,,,,96.852104,99.906746,85.79452,97.31994,90.76872,86.37374,110.30795
305,462.920052148203,18.843918,,,,,,,,,,,177.22763,106.6781,68.30163,76.66252,134.70844,26.815258,1001.7925
306,443.334380407689,18.927631,,,,,,,,,,,133.88414,167.8949,170.4934,181.17215,246.71698,128.31764,129.30365
307,399.308154130109,18.93826,,,,,,,,,,,157.6831,101.80773,132.76537,148.78665,117.504684,172.618,138.35065
309,355.281986082716,18.942867,,,,,,,,,,,146.46716,196.64665,131.1975,168.78983,142.22351,119.667816,35.595234
310,311.255781615015,18.953505,,,,,,,,,,,103.71633,54.32152,86.41511,89.40629,137.4526,65.17657,82.33871
311,125.090142660532,19.002256,,,,,,,,,,,92.87558,18.806015,35.28669,27.106113,30.48577,546.27423,94.77207
