mz,mzmin,mzmax,rt,rtmin,rtmax,npeaks,PA14_Si11_10uM,PA14_Si11_4uM,PA14_Si11_8uM,ms_level,X1,X2,X3,X4,X5,X6,X7,X8,X9,isotopes,adduct,pcgroup
118.0650885,118.0650055,118.0652598,537.25,536.5419312,537.2717896,8,3,3,2,1,2972355.681,2929763.083,2968333.244,1683963.067,1684254.946,1711810.44,1118997.98,3102873.638,3097165.019,[4][M]+,[M+H-CO]+ 145.052,1
118.0731617,118.0730784,118.0732162,680.1773987,679.9905396,680.2377319,6,3,0,3,1,14132.33513,13877.62726,14425.36366,6507.241104,6419.036957,4782.624878,15927.5544,15696.81782,15422.40452,,,2
119.0491303,119.0490064,119.0492384,491.1279907,490.872,491.4045715,9,3,3,3,1,191630.3483,189618.2579,195101.9309,105705.0595,93476.67884,106752.2844,197163.2633,199538.2804,206636.6662,[5][M]+,[M+H-HCOOH]+ 164.047,21
119.0684417,119.0683515,119.0685971,537.25,536.5419312,537.2717896,8,3,3,2,1,268408.5767,263354.7157,265987.2773,151956.3709,153836.227,154249.5609,101095.3076,281676.4928,279340.8185,[4][M+1]+,,1
119.0896527,119.0894543,119.0898458,623.8828125,623.7481689,624.3828735,6,3,0,3,1,12014.61282,12432.59392,12922.75765,5217.573406,5756.654565,6446.423765,11691.01188,10870.40576,11949.37791,[3][M+1]+,,3
119.0491553,119.0490729,119.0492177,125.5489006,125.1711273,125.9316254,4,3,0,1,1,21173.52991,18957.4072,21093.39804,13195.95195,7622.689847,13455.7341,16010.96166,8338.448636,21245.74518,,[M+K]+ 80.086 [M+Na]+ 96.0599 [M+H]+ 118.042 [M+H-HCOOH]+ 164.048,70
120.020583,120.020459,120.0206904,507.433,507.178009,507.895752,9,3,3,3,1,32235.68346,31071.943,31934.67771,17737.47731,17281.11431,17521.30121,32126.7827,34198.24911,33156.64619,,,8
120.0525047,120.0523722,120.0525623,491.128,491.0393372,491.4264832,9,3,3,3,1,17319.88494,16344.56471,16795.8355,8911.995,8247.363556,8180.599935,17005.51488,18092.41047,18150.71108,[5][M+1]+,,21
120.0807499,120.0806178,120.0808844,220.8747864,220.610672,221.1300354,9,3,3,3,1,415369.0147,408701.4151,420271.7548,398232.89,409907.3453,408135.1495,410436.8705,423357.3958,422761.185,[6][M]+,[M+H]+ 119.073,40
120.04438,120.0441605,120.0444905,343.9933167,343.8128052,344.1997375,8,3,3,2,1,9628.166759,9948.158824,9616.167118,8963.217187,9397.769727,8568.617333,8764.239394,9804.8256,9205.278064,,,131
