"feature_name","mz","rt","metabolite_annotation","adducts_anno","neutral_loss_annotation","ISF_anno","iso_anno","group","cor_group","check_group","user_anno"
"FT0736",165.0698,680.2,NA,NA,NA,"Precursor; FT0736_MS2 match; FT0748_MS2 match; FT0751_MS2 match","","group69","corgroup172","+",""
"FT0376",166.058,491.1,NA,NA,NA,"FT0375_MS2 match","[18][M+1]+","group37","corgroup125","+",""
"FT0328",166.0862,220.9,NA,NA,NA,"","[19][M]+","group24","corgroup139","+",""
"FT0384",167.06,491.1,NA,NA,NA,"","[18][M+2]+","group37","corgroup125","+",""
"FT0329",167.0896,220.9,NA,NA,NA,"","[19][M+1]+","group24","corgroup139","+",""
"FT0556",168.042,537.3,"Indole-3-carboxaldehyde [M+Na]+","[M+Na]+ 145.0528",NA,"FT0564_MS2 match","[20][M]+","group48","corgroup157","+",""
"FT1040",168.0806,900.3,NA,NA,"FT1035-OH; FT1036-H2O","","","group123","corgroup112","+",""
"FT0550",169.0452,537.2,NA,NA,NA,"FT0564_MS2 match","[20][M+1]+","group48","corgroup157","+",""
"FT0581",169.0495,559.4,NA,NA,NA,"Precursor; FT0581_MS2 match; FT0582_MS2 match; FT0585_MS2 match; FT0588_MS2 match; FT0591_MS2 match","[21][M]+","group50","corgroup156","+",""
"FT0856",169.0647,750.7,NA,NA,NA,"FT0816_MS2 match; FT0817_MS2 match; FT0819_MS2 match; FT0825_MS2 match; FT0848_MS2 match","","group79","corgroup127","+",""
"FT0218",170.0424,70.6,NA,NA,NA,"","",NA,NA,"",""
"FT0595",170.0529,559.4,NA,NA,NA,"FT0582_MS2 match; FT0585_MS2 match; FT0591_MS2 match","[21][M+1]+","group50","corgroup156","+",""
"FT0816",170.0725,750.5,NA,NA,"FT0800-CH3COOH; FT0817-CH3","Precursor; FT0816_MS2 match; FT0817_MS2 match; FT0819_MS2 match; FT0821_MS2 match; FT0825_MS2 match; FT0830_MS2 match; FT0838_MS2 match; FT0842_MS2 match; FT0848_MS2 match; FT0851_MS2 match; FT0854_MS2 match","","group79","corgroup127","+",""
"FT0428",170.0811,507.4,NA,"[M+NH4]+ 152.0473",NA,"","","group38","corgroup73","",""
"FT1266",171.138,1009.2,NA,NA,"FT1261-H2O","","","group176","corgroup96","+",""
"FT0619",171.1492,588.9,NA,NA,NA,"","",NA,"corgroup103","",""
"FT0463",172.0282,507.4,NA,"[2M+H+K]2+ 152.0473",NA,"","","group38","corgroup119","+",""
"FT0987",172.0756,870.1,NA,NA,NA,"","","group111","corgroup135","+",""
"FT1042",172.0757,900.5,NA,NA,NA,"","","group124","corgroup112","+",""
"FT1125",172.0757,939.5,NA,NA,"FT1121-CH3COOH","","","group140","corgroup128","+",""
"FT0932",172.1695,809.5,NA,NA,NA,"","",NA,"corgroup165","",""
"FT0325",173.0786,183.5,NA,NA,NA,"","",NA,NA,"",""
"FT0195",174.9379,65.8,NA,NA,NA,"","",NA,"corgroup107","",""
"FT0453",175.0366,507.4,"2-Methoxybenzoic Acid [M+Na]+","[M+Na]+ 152.0473",NA,"FT0458_MS2 match; FT0464_MS2 match","[22][M]+","group38","corgroup119","+",""
"FT0951",175.1331,847.3,NA,NA,NA,"","","group103","corgroup60","+",""
"FT1061",175.1331,902.1,NA,NA,NA,"","","group129","corgroup59","+",""
"FT0444",176.04,507.4,NA,NA,NA,"FT0464_MS2 match","[22][M+1]+","group38","corgroup119","+",""
"FT0229",176.103,72.4,NA,NA,NA,"","","group9","corgroup63","+",""
"FT0494",177.0547,516.5,NA,NA,"FT0495-H2O","Precursor; FT0494_MS2 match; FT0495_MS2 match; FT0501_MS2 match; FT0503_MS2 match; FT0516_MS2 match; FT0518_MS2 match; FT0519_MS2 match; FT0521_MS2 match; FT0523_MS2 match; FT0528_MS2 match","[23][M]+","group43","corgroup146","+",""
"FT0694",177.56,624.5,NA,NA,NA,"","",NA,NA,"",""
"FT0489",178.0581,516.4,NA,NA,NA,"FT0494_MS2 match; FT0495_MS2 match; FT0501_MS2 match; FT0503_MS2 match; FT0519_MS2 match; FT0523_MS2 match; FT0528_MS2 match","[23][M+1]+","group43","corgroup146","+",""
"FT0737",178.0777,680.2,NA,NA,"FT0741-CH3","Precursor; FT0737_MS2 match; FT0738_MS2 match; FT0748_MS2 match; FT0751_MS2 match","","group69","corgroup172","+",""
"FT0699",179.058,635.9,"3-Indoleacetonitrile [M+Na]+","[M+Na]+ 156.0687",NA,"FT0706_MS2 match","","group65","corgroup155","+",""
"FT0490",179.0601,516.4,NA,NA,NA,"FT0495_MS2 match","[23][M+2]+","group43","corgroup146","+",""
"FT0738",179.0852,680.2,NA,NA,NA,"Precursor; FT0737_MS2 match; FT0738_MS2 match; FT0748_MS2 match; FT0751_MS2 match","[24][M]+","group69","corgroup172","+",""
"FT0723",180.0889,680.1,NA,NA,NA,"FT0737_MS2 match; FT0738_MS2 match; FT0751_MS2 match","[24][M+1]+","group69","corgroup172","+",""
"FT0212",180.9039,67.8,NA,NA,NA,"","",NA,"corgroup117","",""
"FT0468",181.0335,507.6,NA,NA,NA,"FT0458_MS2 match","","group38",NA,"",""
"FT0776",181.0761,713.6,NA,NA,NA,"","",NA,NA,"",""
"FT0307",182.0812,114.3,NA,"[M+NH4]+ 164.0473",NA,"","","group20",NA,"",""
